Date,Station,AWND,PRCP,SNOW,TMAX,TMIN
20170531,DEN,38,0,0,278,78
20170601,DFW,37,38,0,306,222
20170601,ORD,21,0,0,272,106
20170601,SFO,68,0,0,206,128
20170601,DEN,41,0,0,267,94
20170602,DFW,35,434,0,306,206
20170602,ORD,24,0,0,300,117
20170602,SFO,74,0,0,217,117
20170602,DEN,45,3,0,261,106
20170603,DFW,21,272,0,278,206
20170603,ORD,27,0,0,289,139
20170603,SFO,66,0,0,194,122
20170603,DEN,39,0,0,250,83
20170604,DFW,22,23,0,311,211
20170604,ORD,38,0,0,333,189
20170604,SFO,70,0,0,194,117
20170604,DEN,34,0,0,272,83
20170605,DFW,29,0,0,306,206
20170605,ORD,63,0,0,239,150
20170605,SFO,59,0,0,233,106
20170605,DEN,40,0,0,300,106
20170606,DFW,53,0,0,350,217
20170606,ORD,62,0,0,244,122
20170606,SFO,60,0,0,183,111
20170606,DEN,31,0,0,256,100
20170607,DFW,36,0,0,328,228
20170607,ORD,36,0,0,250,133
20170607,SFO,41,0,0,200,122
20170607,DEN,46,3,0,294,117
20170608,DFW,36,0,0,317,211
20170608,ORD,19,15,0,283,117
20170608,SFO,32,13,0,189,150
20170608,DEN,38,0,0,294,111
20170609,DFW,55,188,0,272,189
20170609,ORD,40,0,0,306,183
20170609,SFO,66,0,0,189,133
20170609,DEN,56,0,0,333,156
20170610,DFW,63,0,0,322,222
20170610,ORD,63,0,0,322,178
20170610,SFO,81,0,0,200,122
20170610,DEN,68,0,0,344,183
20170611,DFW,66,0,0,322,233
20170611,ORD,67,0,0,339,228
20170611,SFO,108,0,0,178,122
20170611,DEN,44,0,0,267,156
20170612,DFW,67,0,0,344,250
20170612,ORD,52,0,0,350,228
20170612,SFO,72,0,0,183,117
20170612,DEN,75,0,0,339,133
20170613,DFW,72,0,0,344,256
20170613,ORD,31,0,0,311,200
20170613,SFO,55,0,0,211,111
20170613,DEN,54,0,0,278,56
20170614,DFW,74,0,0,344,261
20170614,ORD,44,150,0,333,200
20170614,SFO,75,0,0,228,117
20170614,DEN,42,0,0,306,100
20170615,DFW,56,0,0,350,256
20170615,ORD,35,18,0,328,200
20170615,SFO,98,0,0,222,128
20170615,DEN,34,0,0,317,111
20170616,DFW,62,0,0,356,261
20170616,ORD,46,56,0,300,194
20170616,SFO,81,0,0,239,139
20170616,DEN,55,0,0,350,117
20170617,DFW,69,0,0,344,261
20170617,ORD,38,107,0,306,206
20170617,SFO,73,0,0,250,128
20170617,DEN,55,0,0,300,156
20170618,DFW,55,0,0,350,267
20170618,ORD,61,0,0,261,206
20170618,SFO,36,0,0,361,167
20170618,DEN,36,0,0,300,144
20170619,DFW,40,48,0,339,233
20170619,ORD,45,8,0,267,167
20170619,SFO,62,0,0,250,144
20170619,DEN,43,0,0,300,128
20170620,DFW,29,0,0,344,250
20170620,ORD,43,0,0,267,144
20170620,SFO,68,0,0,222,133
20170620,DEN,38,0,0,372,161
20170621,DFW,39,0,0,344,233
20170621,ORD,32,0,0,267,128
20170621,SFO,48,0,0,244,122
20170621,DEN,50,0,0,367,161
20170622,DFW,30,0,0,339,239
20170622,ORD,65,0,0,311,200
20170622,SFO,49,0,0,267,150
20170622,DEN,55,0,0,339,161
20170623,DFW,38,36,0,378,250
20170623,ORD,55,180,0,283,189
20170623,SFO,53,0,0,228,144
20170623,DEN,41,25,0,172,89
20170624,DFW,39,975,0,289,211
20170624,ORD,55,5,0,239,150
20170624,SFO,73,0,0,206,139
20170624,DEN,49,0,0,261,72
